experiment,feature_count,split,MAE,RMSE,R2,Training Time
A_time_only,16,validation,51.454227447509766,79.48668016855875,0.8744357824325562,0.4016397999948822
A_time_only,16,test,70.73961639404297,105.47209253962633,0.7569877505302429,0.4016397999948822
B_time_weather,21,validation,46.32097244262695,69.7289219663817,0.9033719301223755,0.377033400000073
B_time_weather,21,test,48.2633056640625,74.24505783741601,0.8795828819274902,0.377033400000073
C_time_weather_lag,25,validation,36.3042106628418,56.32729064916047,0.9369456768035889,0.47386689999257214
C_time_weather_lag,25,test,35.107295989990234,57.544681603597176,0.9276624917984009,0.47386689999257214
D_time_weather_lag_rolling,27,validation,38.09261703491211,59.6202869271966,0.9293575882911682,0.5121034999901894
D_time_weather_lag_rolling,27,test,35.926063537597656,58.94085107784965,0.9241097569465637,0.5121034999901894
